"customerID","tenure","monthly_charges","Contract","churn","total_charges"
"8309-PPCED",72,110.45,Two year,No,7982.5
"3580-HYCSP",72,110.3,Two year,No,7966.9
"0378-CJKPV",72,112.1,Two year,No,7965.95
"1291-CUOCY",72,110.6,Two year,No,7962.2
"9475-NNDGC",71,113.15,One year,No,7953.25
"2469-DTSGX",72,111.65,Two year,No,7943.45
"0052-DCKON",66,115.8,One year,No,7942.15
"2368-GAKKQ",70,113.65,Two year,No,7939.25
"1162-ECVII",72,109.75,Two year,No,7932.5
"1679-JRFBR",70,108.15,One year,No,7930.55
"7030-FZTFM",72,110.9,Two year,No,7922.75
"3518-FSTWG",72,109.55,Two year,No,7920.7
"8915-NNTRC",72,107.7,Two year,No,7919.8
"0013-SMEOE",71,109.7,Two year,No,7904.25
"4909-JOUPP",72,109.7,Two year,No,7898.45
"3655-SNQYZ",69,113.25,Two year,No,7895.15
"9802-CAQUT",72,109.55,Two year,No,7887.25
"0530-IJVDB",70,114.6,Two year,No,7882.5
"2499-AJYUA",72,110.8,Two year,No,7882.25
"9070-BCKQP",72,110.15,Two year,No,7881.2
"6295-OSINB",72,109.65,Two year,No,7880.25
"6614-FHDBO",72,109.2,Two year,No,7878.3
"5172-RKOCB",72,108.95,Two year,No,7875.0
"3870-SPZSI",70,113.05,Two year,No,7869.05
"4868-AADLV",66,116.25,One year,No,7862.25
"3831-YCPUO",72,109.5,Two year,No,7854.9
"5945-AZYHT",71,109.6,One year,No,7854.15
"5954-BDFSG",72,107.5,Two year,No,7853.7
"1841-YSJGV",72,109.95,Two year,No,7852.4
"6445-TNRXS",68,114.7,Two year,No,7849.85
"3865-YIOTT",72,106.1,One year,No,7848.5
"3258-SYSWS",72,113.8,Two year,No,7845.8
"4304-TSPVK",68,114.9,Two year,No,7843.55
"4393-GEADV",70,114.75,Two year,No,7842.3
"9031-ZVQPT",72,108.2,Two year,No,7840.6
"7923-IYJWY",67,116.1,Two year,No,7839.85
"9861-PDSZP",72,108.05,Two year,No,7806.6
"6993-YGFJV",69,112.55,Two year,No,7806.5
"7055-JCGNI",70,111.95,Two year,No,7795.95
"2266-SJNAT",72,109.15,One year,No,7789.6
"2599-CIPQE",71,109.3,Two year,No,7782.85
"7134-HBPBS",72,108.1,Two year,No,7774.05
"1320-GVNHT",72,108.4,Two year,No,7767.25
"4670-TABXH",72,109.75,Two year,No,7758.9
"6297-NOOPG",70,110.5,Two year,No,7752.05
"2272-WUSPA",72,110.75,Two year,No,7751.7
"8024-XNAFQ",72,107.4,Two year,No,7748.75
"3244-CQPHU",72,110.1,Two year,No,7746.7
"8071-SBTRN",70,111.15,Two year,No,7737.55
"2984-TBYKU",72,104.9,Two year,No,7732.65
"1053-MXTTK",72,108.65,Two year,No,7726.35
"2419-FSORS",72,108.4,Two year,No,7719.5
"4806-DXQCE",70,113.65,Two year,No,7714.65
"2615-YVMYX",71,107.5,Month-to-month,No,7713.55
"8901-UPRHR",72,109.2,Two year,No,7711.45
"7176-WRTNX",70,114.95,Two year,No,7711.25
"6308-CQRBU",71,109.25,Two year,No,7707.7
"8707-HOEDG",70,110.2,Two year,No,7689.8
"6519-ZHPXP",72,108.3,Two year,No,7679.65
"3786-WOVKF",72,106.85,One year,No,7677.4
"5375-XLDOF",69,114.35,Two year,No,7665.8
"3407-JMJQQ",71,109.0,Two year,No,7661.8
"8265-HKSOW",72,107.45,Two year,No,7658.3
"5668-MEISB",72,106.1,Two year,No,7657.4
"6749-UTDVX",72,103.65,Two year,No,7634.8
"0136-IFMYD",69,109.95,Two year,No,7634.25
"8999-XXGNS",72,105.75,One year,No,7629.85
"0254-FNMCI",72,109.9,Two year,No,7624.2
"4119-ZYPZY",71,106.8,Two year,No,7623.2
"2798-NYLMZ",71,108.55,Two year,No,7616.0
"1090-ESELR",72,105.5,Two year,No,7611.55
"4476-OSWTN",69,110.55,One year,No,7610.1
"5965-GGPRW",72,105.25,Two year,No,7609.75
"0392-BZIUW",72,105.0,Two year,No,7589.8
"0853-TWRVK",72,105.6,Two year,No,7581.5
"5985-BEHZK",72,105.0,One year,No,7578.05
"4056-QHXHZ",72,107.45,Two year,No,7576.7
"2773-OVBPK",67,111.3,Two year,No,7567.2
"8107-RZLNV",72,106.3,Two year,No,7565.35
"2664-XJZNO",72,104.9,Two year,No,7559.55
"7663-YJHSN",72,103.95,Two year,No,7556.9
"5360-LJCNJ",71,105.15,Two year,No,7555.0
"5804-HYIEZ",70,106.05,Month-to-month,No,7554.05
"5795-KTGUD",68,110.8,Two year,No,7553.6
"2878-RMWXY",72,102.65,Two year,No,7550.3
"1452-UZOSF",72,106.1,Two year,No,7548.6
"7203-OYKCT",72,104.95,One year,No,7544.3
"4389-UEFCZ",72,105.5,Two year,No,7544.0
"0401-WDBXM",72,105.55,Two year,No,7542.25
"4815-YOSUK",72,104.9,One year,No,7537.5
"3022-BEXHZ",67,111.2,Two year,No,7530.8
"2172-EJXVF",71,105.9,One year,No,7521.95
"9958-MEKUC",72,103.95,Two year,No,7517.7
"1576-PFZIW",70,105.35,Two year,No,7511.9
"3199-NPKCN",67,111.25,One year,No,7511.65
"2632-IVXVF",68,111.75,Two year,No,7511.3
"3766-EJLFL",68,109.05,Two year,No,7508.55
"8213-TAZPM",69,108.75,One year,No,7493.05
"9844-FELAJ",70,107.9,One year,No,7475.85
"6994-FGRHH",70,106.15,One year,No,7475.1
"5569-IDSEY",71,105.7,One year,No,7472.15
"5286-YHCVC",72,104.8,Two year,No,7470.1
"4627-MIHJH",69,110.25,Two year,No,7467.55
"5153-LXKDT",68,110.2,Two year,No,7467.5
"9848-JQJTX",72,100.9,Two year,No,7459.05
"5376-PCKNB",72,104.45,One year,No,7459.0
"7519-JTWQH",69,110.5,Two year,No,7455.45
"6374-NTQLP",72,104.1,Two year,No,7447.7
"2988-QRAJY",69,110.05,Two year,No,7430.75
"0742-LAFQK",72,99.15,Two year,No,7422.1
"8089-UZWLX",71,104.05,Two year,No,7413.55
"5678-VFNEQ",71,104.1,One year,No,7412.25
"3363-DTIVD",71,105.55,Two year,No,7405.5
"6050-IJRHS",70,106.5,One year,No,7397.0
"1229-RCALF",64,115.0,One year,No,7396.15
"8561-NMTBD",67,112.35,One year,No,7388.45
"5440-VHLUL",69,105.2,One year,No,7386.05
"9896-UYMIE",66,114.3,One year,No,7383.7
"0308-GIQJT",71,105.75,One year,No,7382.85
"9959-WOFKT",71,106.7,Two year,No,7382.25
"1297-VQDRP",68,107.15,One year,No,7379.8
"5734-EJKXG",61,118.6,One year,No,7365.7
"6257-DTAYD",71,104.15,Two year,No,7365.3
"2234-XADUH",72,103.2,One year,No,7362.9
"3597-YASZG",70,104.45,Two year,No,7349.35
"4822-LPTYJ",72,103.75,Two year,No,7346.2
"1360-XFJMR",67,109.7,One year,No,7344.45
"1163-VIPRI",65,109.3,Two year,No,7337.55
"8869-LIHMK",64,115.1,Two year,No,7334.05
"5781-BKHOP",72,100.65,Two year,No,7334.05
"0795-GMVQO",67,109.9,One year,No,7332.4
"8809-XKHMD",72,100.55,Two year,No,7325.1
"1335-HQMKX",72,101.35,One year,No,7323.15
"2056-EVGZL",68,105.75,One year,No,7322.5
"2323-ARSVR",67,111.05,Two year,No,7321.05
"7821-DPRQE",68,107.7,Month-to-month,No,7320.9
"8565-HBFNN",69,107.2,One year,No,7317.1
"0100-DUVFC",70,104.8,One year,No,7308.95
"6728-DKUCO",72,104.15,One year,No,7303.05
"6837-HAEVO",69,105.0,Two year,No,7297.75
"4043-MKDTV",71,105.25,Two year,No,7291.75
"3324-OIRTO",71,104.65,One year,No,7288.4
"0665-XHDJU",72,99.4,Two year,No,7285.7
"9558-IHEZX",71,106.75,Two year,No,7283.25
"8849-PRIQJ",67,109.4,One year,No,7281.6
"1936-UAFEH",68,110.25,Two year,No,7279.35
"1135-HIORI",64,111.45,One year,No,7266.95
"5161-UBZXI",69,106.35,Two year,No,7261.75
"0019-EFAEP",72,101.3,Two year,No,7261.25
"7718-UPSKJ",69,106.4,One year,No,7251.9
"6234-RAAPL",72,99.9,Two year,No,7251.7
"3729-OWRVL",65,110.35,Two year,No,7246.15
"4616-ULAOA",65,110.8,Two year,No,7245.9
"6465-GSRCL",67,106.6,One year,No,7244.7
"6050-FFXES",69,105.35,Two year,No,7240.65
"0786-IVLAW",66,108.1,One year,No,7238.6
"1090-PYKCI",69,105.1,One year,No,7234.8
"9052-VKDUW",65,109.4,Month-to-month,No,7227.45
"0864-FVJNJ",64,113.35,One year,No,7222.75
"2277-BKJKN",71,99.2,Two year,No,7213.75
"4827-LTQRJ",66,110.6,One year,No,7210.85
"9028-LIHRP",71,100.2,Two year,No,7209.0
"4323-OHFOW",70,105.55,One year,No,7195.35
"7208-PSIHR",70,104.3,Two year,No,7188.5
"6723-WSNTY",66,108.1,One year,No,7181.95
"8065-QBYTO",71,99.65,One year,No,7181.25
"4378-MYPGO",68,105.25,Two year,No,7173.15
"6734-FQAJX",67,105.05,Two year,No,7171.7
"7005-CYUIL",71,99.4,Two year,No,7168.25
"8659-IOOPU",71,100.45,Two year,No,7159.7
"8480-PPONV",62,115.55,Two year,No,7159.05
"6999-CHVCF",68,102.1,Two year,No,7149.35
"5481-NTDOH",67,107.05,One year,No,7142.5
"6333-YDVLT",65,110.0,One year,No,7138.65
"8894-JVDCV",62,115.05,One year,No,7133.45
"3339-EAQNV",72,97.25,One year,No,7133.1
"6710-HSJRD",61,114.1,Month-to-month,No,7132.15
"7730-CLDSV",72,98.65,Two year,No,7129.45
"2692-AQCPF",65,108.05,One year,No,7118.9
"6176-YJWAS",72,97.95,Two year,No,7114.25
"0218-QNVAS",71,100.55,One year,No,7113.75
"5897-ZYEKH",67,105.6,One year,No,7112.15
"8495-LJDFO",64,108.95,Month-to-month,No,7111.3
"6500-JVEGC",68,101.35,One year,No,7110.75
"2307-FYNNL",65,109.05,Two year,No,7108.2
"6067-NGCEU",65,111.05,Month-to-month,No,7107.0
"6719-FGEDO",72,97.0,Two year,No,7104.2
"1891-QRQSA",64,111.6,Two year,No,7099.0
"2521-NPUZR",70,101.0,Two year,No,7085.5
"3096-YXENJ",65,107.65,Two year,No,7082.85
"3617-XLSGQ",66,109.25,Two year,No,7082.5
"3761-FLYZI",65,108.8,Month-to-month,No,7082.45
"5067-XJQFU",66,108.45,One year,No,7076.35
"9625-QNLUX",68,103.25,Two year,No,7074.4
"2623-DRYAM",70,101.75,One year,No,7069.3
"9405-GPBBG",64,110.5,Two year,No,7069.25
"3230-JCNZS",71,99.0,Two year,No,7061.65
"8920-NAVAY",62,110.75,One year,No,7053.35
"9659-ZTWSM",66,107.35,One year,No,7051.95
"5574-NXZIU",63,109.2,Two year,No,7049.75
"3680-CTHUH",60,116.6,One year,No,7049.5
"5336-UFNZP",65,107.45,One year,No,7047.5
"0862-PRCBS",68,103.75,Two year,No,7039.45
"4129-LYCOI",67,104.0,Two year,No,7039.05
"1060-ENTOF",67,105.4,One year,No,7035.6
"7537-CBQUZ",63,109.4,Month-to-month,No,7031.45
"1442-OKRJE",66,103.15,One year,No,7031.3
"6463-HHXJR",71,100.5,Two year,No,7030.65
"7036-TYDEC",69,104.0,Two year,No,7028.5
"1937-OTUKY",72,98.2,Two year,No,7015.9
"5055-BRMNE",67,106.7,Two year,No,7009.5
"7017-VFHAY",61,115.1,Two year,No,7008.15
"1656-DRSMG",63,109.85,Month-to-month,No,7002.95
"6048-UWKAL",69,105.4,Two year,No,6998.95
"2789-CZANW",64,110.3,Two year,No,6997.3
"5453-YBTWV",70,101.1,Two year,No,6994.8
"1545-JFUML",71,99.0,Two year,No,6994.6
"3642-GKTCT",61,115.1,One year,No,6993.65
"8041-TMEID",63,108.5,Two year,No,6991.9
"3133-PZNSR",72,97.75,Two year,No,6991.6
"4199-QHJNM",67,102.9,Two year,No,6989.7
"5174-ITUMV",67,105.4,One year,No,6989.45
"0326-VDYXE",70,97.65,One year,No,6982.5
"7134-MJPDY",66,102.85,One year,No,6976.75
"9571-EDEBV",71,98.65,One year,No,6962.85
"8639-NHQEI",72,95.9,Two year,No,6954.15
"2067-QYTCF",64,111.15,Month-to-month,No,6953.4
"2674-MLXMN",71,99.65,Month-to-month,No,6951.15
"1325-USMEC",70,99.35,Two year,No,6944.5
"1469-LBJQJ",66,105.2,Month-to-month,No,6936.85
"5663-QBGIS",72,98.35,Two year,No,6929.4
"8261-GWDBQ",60,116.05,Two year,No,6925.9
"2190-PHBHR",72,94.45,Two year,No,6921.7
"5055-MGMGF",65,105.05,Month-to-month,No,6914.95
"4683-WYDOU",62,107.6,Two year,No,6912.7
"9715-WZCLW",71,97.2,Two year,No,6910.3
"5696-CEIQJ",67,103.15,Two year,No,6895.5
"5553-AOINX",66,104.9,One year,No,6891.45
"8085-MSNLK",62,113.95,Two year,No,6891.4
"5074-FBGHB",64,104.65,One year,No,6889.8
"8466-PZBLH",67,104.6,Two year,No,6885.75
"5966-EMAZU",64,108.5,One year,No,6880.85
"3705-RHRFR",69,99.15,Two year,No,6875.35
"2027-WKXMW",63,108.75,Month-to-month,No,6871.7
"8152-VETUR",72,97.7,Two year,No,6869.7
"9821-BESNZ",66,104.25,One year,No,6860.6
"8174-TBVCF",70,94.8,Two year,No,6859.05
"4686-GEFRM",70,98.7,Two year,No,6858.9
"1696-HXOWK",71,95.65,One year,No,6856.95
"4419-UJMUS",69,99.35,Two year,No,6856.45
"4024-CSNBY",72,94.25,Two year,No,6849.75
"0020-INWCK",71,95.75,Two year,No,6849.4
"3186-AJIEK",66,105.65,Two year,No,6844.5
"7765-LWVVH",72,95.1,Two year,No,6843.15
"6227-FBDXH",69,99.5,One year,No,6841.45
"9488-FYQAU",63,109.25,Two year,No,6841.4
"1304-SEGFY",72,97.85,Two year,No,6841.3
"2452-KDRRH",67,101.4,Month-to-month,No,6841.05
"2272-JKMSI",62,110.8,One year,No,6840.95
"9402-CXWPL",70,98.9,One year,No,6838.6
"2057-BOYKM",72,96.6,Two year,No,6827.5
"0181-RITDD",62,108.15,Two year,No,6825.65
"8984-EYLLL",64,105.25,Two year,No,6823.4
"6797-UCJHZ",66,104.6,One year,No,6819.45
"4753-PADAS",67,105.7,One year,No,6816.95
"2360-RDGRO",65,104.25,Month-to-month,No,6812.95
"9586-JGQKH",64,105.4,Two year,No,6794.75
"4832-VRBMR",65,103.15,One year,No,6792.45
"2167-FQSTQ",72,92.4,Two year,No,6786.1
"9778-OGKQZ",72,92.0,Two year,No,6782.15
"1110-KYLGQ",63,108.25,Month-to-month,No,6780.1
"6408-OTUBZ",66,104.55,One year,No,6779.05
"5149-QYTTU",71,95.15,One year,No,6770.85
"2898-MRKPI",68,101.05,One year,No,6770.5
"8433-WPJTV",65,103.9,One year,No,6767.1
"3841-NFECX",71,96.35,Two year,No,6766.95
"3882-IYOIJ",60,115.25,Two year,No,6758.45
"8375-KVTHK",68,100.3,One year,No,6754.35
"4220-TINQT",61,106.35,Month-to-month,No,6751.35
"0129-KPTWJ",72,94.65,Month-to-month,No,6747.35
"2560-PPCHE",65,105.05,One year,No,6744.25
"8905-IAZPF",69,95.65,One year,No,6744.2
"0727-BNRLG",69,97.65,Two year,No,6743.55
"3612-YUNGG",64,109.2,Two year,No,6741.15
"7322-OCWHC",72,93.05,Two year,No,6735.05
"8402-EIVQS",67,100.9,One year,No,6733.15
"0244-LGNFY",72,92.65,Two year,No,6733.0
"8777-MBMTS",65,105.85,Two year,No,6725.5
"6616-AALSR",65,104.3,Two year,No,6725.3
"7940-UQQUG",64,104.4,One year,No,6721.6
"3967-KXAPS",72,92.3,Two year,No,6719.9
"0266-CLZKZ",67,105.65,Two year,No,6717.9
"5248-RPYWW",72,90.15,Two year,No,6716.45
"4191-XOVOM",63,105.4,Month-to-month,No,6713.2
"7375-WMVMT",71,95.5,Two year,No,6707.15
"4778-IZARL",63,110.1,Two year,No,6705.7
"1017-FBQMM",62,106.05,One year,No,6703.5
"0960-HUWBM",65,104.1,Two year,No,6700.05
"7503-MIOGA",72,89.85,Two year,No,6697.35
"9297-EONCV",72,91.35,Two year,No,6697.2
"2324-EFHVG",64,104.4,Two year,No,6692.65
"1013-QCWAM",66,100.8,Month-to-month,No,6690.75
"9402-ROUMJ",67,100.25,One year,No,6689.0
"8197-BFWVU",72,93.25,Two year,No,6688.95
"8979-CAMGB",64,102.1,One year,No,6688.1
"0670-ANMUU",71,97.65,One year,No,6687.85
"1930-QPBVZ",68,95.1,Two year,No,6683.4
"3756-VNWDH",65,100.75,One year,No,6674.65
"6244-BESBM",69,95.2,Two year,No,6671.7
"3144-KMTWZ",71,93.25,Month-to-month,No,6669.45
"5740-YHGTW",70,97.55,Month-to-month,No,6669.05
"7868-TMWMZ",60,110.0,Two year,No,6668.35
"0795-LAFGP",71,90.4,Two year,No,6668.05
"9938-TKDGL",68,99.55,Two year,No,6668.0
"1347-KTTTA",64,102.45,One year,No,6654.1
"3569-JFODW",72,90.95,Two year,No,6652.45
"4837-QUSFT",65,100.15,One year,No,6643.5
"9330-VOFSZ",60,110.8,Two year,No,6640.7
"7182-OVLBJ",62,101.15,Two year,No,6638.35
"1227-UDMZR",72,91.15,Two year,No,6637.9
"2990-IAJSV",72,92.0,Two year,No,6632.75
"3197-NNYNB",65,105.1,Two year,No,6631.85
"4718-WXBGI",72,91.95,Two year,No,6614.9
"6341-AEVKX",62,104.3,One year,No,6613.65
"0868-VJRDR",64,104.05,Two year,No,6605.55
"5223-UZAVK",64,100.3,One year,No,6603.8
"7080-TNUWP",70,95.0,One year,No,6602.9
"3552-CTCYF",63,104.8,Two year,No,6597.25
"9489-JMTTN",72,89.75,Two year,No,6595.9
"3086-RUCRN",66,103.1,Month-to-month,No,6595.0
"0565-JUPYD",63,104.5,One year,No,6590.8
"7572-KPVKK",62,104.05,Two year,No,6590.5
"7579-KKLOE",71,91.25,Two year,No,6589.6
"5968-XQIVE",72,89.7,One year,No,6588.95
"6993-YCOBK",60,110.6,Two year,No,6586.85
"8752-GHJFU",71,92.0,One year,No,6585.2
"2378-VTKDH",65,104.35,Month-to-month,No,6578.55
"2522-AHJXR",60,109.45,Month-to-month,No,6572.85
"1741-WTPON",56,115.85,Two year,No,6567.9
"9548-ZMVTX",72,90.45,Two year,No,6565.85
"5684-FJVYR",72,90.35,Two year,No,6563.4
"1775-KWJKQ",72,89.85,Two year,No,6562.9
"7663-CUXZB",59,113.75,Two year,No,6561.25
"5140-FOMCQ",59,109.15,One year,No,6557.75
"8591-TKMZH",59,111.1,Two year,No,6555.2
"9570-KYEUA",64,99.25,Two year,No,6549.45
"7426-GSWPO",64,103.5,Month-to-month,No,6548.65
"9076-AXYIK",64,102.1,Two year,No,6538.45
"5193-QLVZB",63,104.75,Two year,No,6536.5
"0409-WTMPL",58,110.65,One year,No,6526.65
"1698-XFZCI",61,107.75,One year,No,6521.9
"5879-HMFFH",72,88.05,Two year,No,6520.8
"6168-YBYNP",59,111.35,Month-to-month,No,6519.75
"8715-KKTFG",61,103.3,One year,No,6518.35
"5214-NLTIT",72,90.8,Two year,No,6511.8
"6265-SXWBU",69,95.75,One year,No,6511.25
"7408-OFWXJ",72,89.8,Two year,No,6510.45
"3779-OSWCF",71,93.2,Two year,No,6506.15
"4989-LIXVT",68,95.9,Month-to-month,No,6503.2
"2925-VDZHY",72,88.7,Two year,No,6501.35
"8065-BVEPF",65,99.1,Month-to-month,No,6496.15
"5339-TJFEK",62,105.5,Month-to-month,No,6487.2
"1063-DHQJF",69,92.15,Two year,No,6480.9
"1035-IPQPU",63,103.5,Month-to-month,No,6479.4
"2000-DHJUY",70,92.2,Two year,No,6474.45
"3084-DOWLE",72,92.0,Two year,No,6474.4
"0201-MIBOL",66,102.4,Two year,No,6471.85
"2988-GBIVW",70,90.85,Month-to-month,No,6470.1
"1971-DTCZB",72,90.95,Two year,No,6468.6
"4077-HWUYD",72,87.55,Two year,No,6463.15
"9589-ABEPT",69,92.45,Two year,No,6460.55
"4674-HGNUA",71,89.9,Two year,No,6457.15
"2830-LEWOA",61,103.9,One year,No,6449.15
"3398-GCPMU",72,89.55,Two year,No,6448.85
"7233-DRTRF",63,102.4,Month-to-month,No,6444.05
"1951-IEYXM",72,90.6,Two year,No,6441.85
"6726-NNFWD",71,89.45,Two year,No,6435.25
"0442-ZXKVS",54,115.6,One year,No,6431.05
"4654-DLAMQ",64,97.0,One year,No,6430.9
"3146-MSEGF",72,88.05,Two year,No,6425.65
"1642-HMARX",68,91.7,Two year,No,6424.7
"6242-FEGFD",66,96.6,Two year,No,6424.25
"4488-KQFDT",61,103.95,One year,No,6423.0
"5716-EZXZN",65,99.05,Two year,No,6416.7
"6377-WHAOX",60,106.15,Month-to-month,No,6411.25
"7398-HPYZQ",71,90.55,Two year,No,6404.0
"5647-FXOTP",60,105.9,Month-to-month,No,6401.25
"7710-JSYOA",69,93.3,Two year,No,6398.05
"5727-MYATE",72,90.8,Two year,No,6397.6
"8819-ZBYNA",58,109.1,Two year,No,6393.65
"1568-LJSZU",68,92.2,Two year,No,6392.85
"2194-IIQOF",71,89.3,Two year,No,6388.65
"5504-WSIUR",70,90.25,One year,No,6385.95
"4455-BFSPD",61,101.15,One year,No,6383.9
"8016-NCFVO",55,116.5,Month-to-month,No,6382.55
"8755-IWJHN",69,95.35,Month-to-month,No,6382.0
"6408-WHTEF",72,89.4,Two year,No,6376.55
"4049-ZPALD",64,99.0,Two year,No,6375.8
"1548-FEHVL",61,106.2,Month-to-month,No,6375.2
"9350-VLHMB",67,89.55,Month-to-month,No,6373.1
"5248-YGIJN",72,90.25,Two year,No,6369.45
"7159-NOKYQ",67,93.15,Two year,No,6368.2
"4701-LKOZD",70,89.75,Two year,No,6367.2
"6461-SZMCV",71,87.95,Two year,No,6365.35
"2252-JHJGE",61,104.0,One year,No,6363.45
"7873-CVMAW",72,88.55,Two year,No,6362.35
"3219-JQRSL",72,89.1,Two year,No,6352.4
"7301-ABVAD",72,86.6,Two year,No,6350.5
"6196-HBOBZ",65,99.35,Two year,No,6347.55
"5117-ZSMHQ",71,89.9,Two year,No,6342.7
"2519-LBNQL",60,104.35,One year,No,6339.45
"0238-WHBIQ",72,89.7,Two year,No,6339.3
"2001-EWBQU",60,104.7,Two year,No,6333.8
"1568-BEKZM",70,90.05,Two year,No,6333.4
"2000-MPKCA",58,107.75,One year,No,6332.75
"6211-WWLTF",63,99.7,Two year,No,6330.4
"6365-HITVU",71,87.25,Two year,No,6328.7
"5248-KWLAR",71,90.35,Two year,No,6325.25
"8413-YNHNV",69,90.65,Two year,No,6322.1
"0078-XZMHT",72,85.15,Two year,No,6316.2
"3327-YBAKM",64,96.9,One year,No,6314.35
"0471-ARVMX",62,104.85,One year,No,6312.9
"8769-KKTPH",63,99.65,One year,No,6311.2
"2400-XIWIO",71,90.1,Two year,No,6310.9
"8374-UULRV",72,86.05,Two year,No,6309.65
"6963-EZQEE",70,88.55,Two year,No,6306.5
"6258-PVZWJ",68,90.8,Two year,No,6302.85
"3392-EHMNK",67,94.1,Two year,No,6302.8
"6701-YVNQG",72,88.7,Two year,No,6301.7
"6161-ERDGD",71,85.45,One year,No,6300.85
"8535-SFUTN",61,106.45,Month-to-month,No,6300.15
"8871-JLMHM",68,90.2,Two year,No,6297.65
"2019-HDCZY",63,102.6,Two year,No,6296.75
"5377-NDTOU",71,91.05,Two year,No,6293.75
